sport,mean_historical,paris_2024,absolute_change,relative_change_pct
Athletics,2038.6666666666667,0.0,2038.6666666666667,100.0
Swimming,842.7777777777778,0.0,842.7777777777778,100.0
Rowing,567.7777777777778,0.0,567.7777777777778,100.0
Football,506.55555555555554,0.0,506.55555555555554,100.0
Ice Hockey,414.4,0.0,414.4,100.0
Sailing,398.44444444444446,0.0,398.44444444444446,100.0
Shooting,393.55555555555554,0.0,393.55555555555554,100.0
Judo,383.77777777777777,0.0,383.77777777777777,100.0
Hockey,376.6666666666667,0.0,376.6666666666667,100.0
Wrestling,353.1111111111111,0.0,353.1111111111111,100.0
Handball,335.77777777777777,0.0,335.77777777777777,100.0
Boxing,319.3333333333333,0.0,319.3333333333333,100.0
Rugby Sevens,306.0,0.0,306.0,100.0
Alpine Skiing,293.1,0.0,293.1,100.0
Volleyball,277.22222222222223,0.0,277.22222222222223,100.0
Basketball,277.22222222222223,0.0,277.22222222222223,100.0
Canoe Sprint,263.8888888888889,0.0,263.8888888888889,100.0
Cross Country Skiing,262.0,0.0,262.0,100.0
Fencing,253.11111111111111,0.0,253.11111111111111,100.0
Weightlifting,241.0,0.0,241.0,100.0
Cycling Road,229.0,0.0,229.0,100.0
Water Polo,225.22222222222223,0.0,225.22222222222223,100.0
Artistic Gymnastics,194.77777777777777,0.0,194.77777777777777,100.0
Snowboarding,191.28571428571428,0.0,191.28571428571428,100.0
Biathlon,186.4,0.0,186.4,100.0
Cycling Track,181.11111111111111,0.0,181.11111111111111,100.0
Tennis,176.33333333333334,0.0,176.33333333333334,100.0
Baseball,170.0,0.0,170.0,100.0
Speed Skating,166.0,0.0,166.0,100.0
Table Tennis,165.33333333333334,0.0,165.33333333333334,100.0
Bobsleigh,161.6,0.0,161.6,100.0
Badminton,159.44444444444446,0.0,159.44444444444446,100.0
Freestyle Skiing,158.9,0.0,158.9,100.0
Figure Skating,142.3,0.0,142.3,100.0
Archery,130.88888888888889,0.0,130.88888888888889,100.0
Taekwondo,129.5,0.0,129.5,100.0
Diving,128.0,0.0,128.0,100.0
Wushu,121.0,0.0,121.0,100.0
Basque pelota,121.0,0.0,121.0,100.0
Golf,120.0,0.0,120.0,100.0
Roller Hockey,120.0,0.0,120.0,100.0
Softball,114.0,0.0,114.0,100.0
Triathlon,106.66666666666667,0.0,106.66666666666667,100.0
Short Track Speed Skating,105.1,0.0,105.1,100.0
Luge,101.2,0.0,101.2,100.0
Curling,95.88888888888889,0.0,95.88888888888889,100.0
Canoe Slalom,95.75,0.0,95.75,100.0
Beach Volleyball,94.28571428571429,0.0,94.28571428571429,100.0
Artistic Swimming,87.66666666666667,0.0,87.66666666666667,100.0
Karate,81.0,0.0,81.0,100.0
Rhythmic Gymnastics,80.22222222222223,0.0,80.22222222222223,100.0
Skateboarding,80.0,0.0,80.0,100.0
Equestrian Jumping,79.77777777777777,0.0,79.77777777777777,100.0
Ski Jumping,78.4,0.0,78.4,100.0
Cycling Mountain Bike,77.85714285714286,0.0,77.85714285714286,100.0
Equestrian Eventing,72.44444444444444,0.0,72.44444444444444,100.0
Speed Skiing,65.0,0.0,65.0,100.0
3x3 Basketball,64.0,0.0,64.0,100.0
Modern Pentathlon,62.55555555555556,0.0,62.55555555555556,100.0
Equestrian Dressage,52.666666666666664,0.0,52.666666666666664,100.0
Nordic Combined,52.3,0.0,52.3,100.0
Marathon Swimming,50.5,0.0,50.5,100.0
Cycling BMX Racing,48.0,0.0,48.0,100.0
Skeleton,46.0,0.0,46.0,100.0
Sport Climbing,40.0,0.0,40.0,100.0
Surfing,40.0,0.0,40.0,100.0
Trampolining,30.666666666666668,0.0,30.666666666666668,100.0
Bowling,24.0,0.0,24.0,100.0
Cycling BMX Freestyle,18.0,0.0,18.0,100.0
